aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
147,858.8,34.4,24.3,77.0,52.75,31.4,Hyderabad,06
163,5267.0,106.8,28.4,110.6,65.4,20.0,Hyderabad,05
152,12.3,55.4,26.5,91.3,56.58,30.1,Hyderabad,04
152,10.0,262.0,11.0,144.0,57.0,1.0,Hyderabad,03
154,1056.9,42.1,21.1,85.9,58.5,24.2,Hyderabad,02
314,675.0,30.0,864.9,80.0,45.0,40.0,Hyderabad,01
158,968.8,32.6,21.3,86.9,61.08,22.6,Hyderabad,00
155,682.3,24.1,42.9,73.8,59.0,24.4,Hyderabad,23
159,1409.2,31.3,21.0,90.5,62.29,23.5,Hyderabad,22
173,109.1,7.0,86.0,91.3,73.0,28.0,Hyderabad,21
156,1497.3,34.8,20.3,86.8,60.0,23.8,Hyderabad,20
134,101.0,293.0,10.5,142.0,48.0,7.0,Hyderabad,19
153,1056.9,29.8,19.6,85.6,58.0,24.8,Hyderabad,18
145,907.0,52.0,4.6,144.0,52.0,39.0,Hyderabad,17
152,72.9,34.7,19.5,87.3,54.69,26.1,Hyderabad,16
126,796.0,45.0,11.1,128.0,45.0,41.0,Hyderabad,15
150,49.6,34.8,24.7,85.6,55.46,27.2,Hyderabad,14
126,665.0,30.0,32.4,114.0,45.0,39.0,Hyderabad,13
140,616.5,25.6,35.5,73.6,50.08,26.2,Hyderabad,12
500,665.0,30.0,35.8,654.0,45.0,39.0,Hyderabad,11
135,45.5,24.5,36.7,71.8,48.46,25.5,Hyderabad,10
118,655.0,41.0,13.2,60.0,42.0,23.0,Hyderabad,09
129,34.8,23.5,33.8,69.8,46.31,25.9,Hyderabad,08
129,1554.2,30.3,29.8,57.5,46.0,27.1,Hyderabad,07
150,2003.8,24.9,38.1,79.6,53.75,29.1,Hyderabad,06
118,625.0,39.0,13.4,66.0,42.0,24.0,Hyderabad,05
138,13.5,46.8,25.4,79.4,49.38,24.9,Hyderabad,04
129,81.0,250.0,10.2,130.0,46.0,5.0,Hyderabad,03
144,880.8,29.5,17.9,75.8,51.62,23.5,Hyderabad,02
137,614.2,102.1,13.1,92.8,49.28,16.4,Hyderabad,01
142,880.8,28.2,14.6,74.2,50.92,22.1,Hyderabad,00
129,600.5,67.4,14.2,57.5,46.0,15.4,Hyderabad,23
134,880.8,25.2,14.4,70.2,48.15,21.0,Hyderabad,22
118,40.0,146.0,13.3,144.0,42.0,2.0,Hyderabad,21
138,4743.6,39.4,14.5,79.0,49.64,23.1,Hyderabad,20
118,363.0,358.0,10.9,176.0,42.0,24.0,Hyderabad,19
161,817.9,28.6,15.9,91.6,63.93,25.0,Hyderabad,18
118,292.0,339.0,10.5,160.0,42.0,20.0,Hyderabad,17
159,56.8,35.1,14.3,91.8,62.29,24.7,Hyderabad,16
155,564.0,153.0,6.7,174.0,59.0,14.0,Hyderabad,15
165,43.9,35.0,17.6,98.1,66.93,24.6,Hyderabad,14
155,524.0,33.0,7.4,92.0,59.0,27.0,Hyderabad,13
160,899.6,25.8,30.0,90.2,63.29,28.8,Hyderabad,12
137,284.9,23.0,93.4,85.3,49.0,33.3,Kolkata,11
139,605.0,45.0,28.5,110.0,50.0,29.0,Kolkata,10
152,605.0,43.0,28.3,116.0,57.0,24.0,Kolkata,09
156,46.4,37.3,63.8,91.9,59.92,24.0,Kolkata,08
165,816.0,50.0,27.9,132.0,67.0,48.0,Kolkata,07
169,858.8,47.1,81.3,103.0,69.67,39.9,Kolkata,06
168,927.0,55.0,26.4,156.0,69.0,53.0,Kolkata,05
178,72.1,52.4,49.7,117.7,76.23,35.9,Kolkata,04
235,877.0,77.0,17.5,168.0,119.0,52.0,Kolkata,03
